QUESTIONS,RESPONSES
"17. Kodi ovlaza nzake pauchifwamba, naye ali ndi ufulu wokhala ndi moyo?  ","Chapter:4, Section: 16, Ali ndi ufulu wokhala ndi moyo ngakhale atakhala ndi mulandu, malinga ndi Section 16, Chapter 4 cha Constitution, lomwe limapereka ufulu wa moyo kwa aliyense osalola kugwidwa popanda chilungamo."
18. Ndi udindo wanji omwe ndili nawo ngati nzika ya Malawi muno ,"Chapter: 4, Section: 44, Ndinu ndi udindo wotsatira malamulo ndi kuteteza dziko, kutengela ndi Section 44, Chapter 4 cha Constitution, lomwe limatchula udindo wa nzika kutsatira malamulo ndikuchita zofuna za dziko."
19. Kodi tingakadandaule kuti ngati a Mp athu sakupanga zomwe adalonjeza ,"Chapter: 6, Section: 8, Mungadandaule ku Nyumba ya Malamulo kapena mabungwe ena a boma, izi zili mu Section 8, Chapter 6 cha Constitution, limene limapereka njira zomveka za kukonzekera ndondomeko ndi kupereka madandaulo."
20. Kodi malamulo a mziko lino amati chani pankhani yachipembezo ,"Chapter: 4, Section: 33, Ufulu wolambira chipembedzo uli ndi chitetezo, kutengela ndi Section 33, Chapter 4 cha Constitution, lomwe limapereka ufulu wa munthu aliyense kusankha chipembedzo komanso kulambiramo momasuka."
21. Anthu opanga mademo ali ndi udindo wanji ngati nzika za Malawi muno ,"Chapter: 4, Section: 38, Ali ndi udindo wopanga ma demo mwamtendere, izi zili mu Section 38, Chapter 4 cha Constitution, komwe kulola kusonkhana mwamtendere."
22. Mwana akalakisa tisamumenye malingana ndi malamulo ,"Chapter: 4, Section: 23, Malamulo samalola kumenya ana, izi zili mu Section 23, Chapter 4 cha Constitution, lomwe limateteza ana ku nkhanza, kuphatikizapo kuwalanga mwankhanza."
"23. Malamulo omasiyana akumuz ndi ntauni, nanga bwanji kumuzi kulibe chitukuko?  ","Chapter: 10, Section: 199,  Malamulo ndi ofanana, chitukuko chili pa ndondomeko za boma, malinga ndi Section 199, Chapter 10 cha Constitution, lomwe limayang’anira mabungwe a boma kuti azigwira ntchito mogwirizana ndi zofuna za anthu."
"24. Malamulo amene amasogolera zilandilaa zinthu, ngati makoponi ","Chapter: 4, Section: 24, Constitution imayang’anira chilungamo pakatundu wa anthu, izi zili mu Section 24, Chapter 4, lomwe limapereka chitetezo cha katundu wa akazi ndi ana popanda kutsutsidwa."
25. Ufulu wa anthu wolumala? ,"Chapter: 3, Section: 13(g), Anthu olumala ali ndi ufulu wa chitetezo ndi kuthandizidwa, kutengela ndi Section 13(g), Chapter 3 cha Constitution, lomwe limafotokoza kuti anthu olumala ayenera kukhala ndi chitetezo ndi kulandiridwa ngati anzawo."
26. Maufulu wosogolera ma dotolo achikuda ,
"27. Asing’anga kulanda zithumwa, nkulakwa? ","Chapter: 4, section: 28, Kulanda zinthu popanda chilolezo ndikulakwa, malinga ndi Section 28, Chapter 4 cha Constitution, lomwe limateteza ufulu wa katundu, ndikunena kuti zinthu za munthu siziyenera kutengedwa popanda chilungamo kapena chilolezo."
28. Malamulo oteteza katundu wa ana amasye   ,"Chapter: 4, Section: 23, Constitution imateteza katundu wa ana, izi zili mu Section 23, Chapter 4, lomwe limapereka chitetezo kwa ana ku nkhanza komanso chitetezo pa katundu wawo."
29. Malamulo oteteza kuti mabanja asamathe ,"Chapter: 4, Section:22,  Constitution imalimbikitsa kuti mabanja athetse mikangano mwamtendere, kutengela ndi Section 22, Chapter 4 cha Constitution, lomwe limatsimikizira kuti boma liyenera kulimbikitsa kuthetsa mikangano m'banja mwa mtendere."
30. Ana achichepele ali ndi ufulu wanji ,"Chapter: 4, Section: 23, Ali ndi ufulu wa maphunziro ndi chitetezo, malinga ndi Section 23, Chapter 4 cha Constitution, lomwe limatsimikizira kuti ana onse ali ndi ufulu wophunzira ndi kutetezedwa ku nkhanza kapena kusasamala."
31. Kodi ndi udindo wa ndani kuonetsetsa kuti anthu sakuphwanya malamulo ,"Chapter: 3, Section: 13, Udindo uli pa boma ndi apolisi, kutengela ndi Section 13, Chapter 3 cha Constitution, lomwe limapereka udindo wa boma kupereka chitetezo kwa nzika zonse kudzera mwa apolisi ndi mabungwe ena a chitetezo."
32. Nyumba ya malamulo imati chani pakusamalira anthu okalamba ,"Chapter: 3, Section: 13(b), Constitution imateteza anthu okalamba, izi zili mu Section 13(b), Chapter 3, komwe malamulo amatsimikizira kuti anthu okalamba ayenera kutetezedwa ndi kuthandizidwa."
33. Ndi milandu yanji ili yosaenera kufika ku khoti ,"Chapter: 9, SMilandu yaying'ono ingathe kuthetsedwa mwa mgwirizano, izi zili mu ection: 133, Section 133, Chapter 9 cha Constitution, komwe malamulo amalola kuti milandu yaying'ono imalizidwe mwamsanga popanda kuiponyera ku khoti."
34. Kodi amfumu ammudzi ali ndi mphanvu yanji yosova milandu mmudzi?,"Chapter: 9, Section 110(3), Amfumu amakhala ndi udindo wowona milandu yaying'ono, malinga ndi Section 110(3), Chapter 9, lomwe limapereka mphamvu kwa amfumu kuti azitha kuweruza milandu yaying'ono komwe kumadera awo."
35. Kodi amai apakhomo ali ndi ufulu otsutsa ndemanga ya amuna awo ngati sanasangalale nayo?,"Chapter: 4, Section: 24, Amayi ali ndi ufulu wodandaula ndikufuna chilungamo, izi zili mu Section 24, Chapter 4 cha Constitution, lomwe limapereka ufulu kwa akazi kuti akhale ndi mau ndipo afufuze chilungamo ngati sanasangalale ndi zimene amuna awo achita."
36. Munthu wokuba mbuzi chilango chake ndi chani? ,"Chapter: 15, Section: 137, Chilango chimaonekeratu ndi khoti, koma nthawi zambiri zimakhala m'ndende, malinga ndi malamulo a Section 137 cha Chapter 15 cha Constitution chomwe chimakhazikitsa milandu ndi malamulo a chiwawa, kuphatikizapo kuba."
37. Kumenya munthu wogwidwa pomwe amavlaza ena ndikulakwisa?,"Chapter:4, Section:19, Kumenya munthu sikuloledwa ndi malamulo, izi zikutsimikizidwa ndi Section 19, Chapter 4, chomwe chimateteza aliyense ku nkhanza ndi kupezeka pachiwawa popanda chilungamo."
38. Kodi amai ndi ana ali ndi ufulu wanji malingana ndi Buku la malamulo?  ,"Chapter:4, Section: 20, Ali ndi ufulu wofanana ndi chitetezo, kutengela ndi Section 20, Chapter 4, lomwe limapereka chitetezo chofanana kwa aliyense popanda tsankho pazifukwa zilizonse."
39. Kodi malamulo amati bwanji pa nkhani ya ufulu wolankhula zakukhosi? ,"Chapter:4, Section: 35, Constitution imapereka ufulu wolankhula, izi zili mu Section 35, Chapter 4, lomwe limapereka ufulu kwa nzika zonsedi kulankhula zakukhosi kwawo popanda choletsa."
40. Ndani ali ololedwa kukhala nzika ya dziko lina?  ,"Chapter: 4, Section: 47, Constitution imapereka malamulo okhazikitsa unzika, kutengela ndi Section 47, Chapter 4, lomwe limatchula kuti nzika ya Malawi imapatsidwa ndi ndondomeko za boma, poganizira mabwana kapena zibwana."
41. Anthu obwela angathe kukhala nzika ya Malawi muno?  ,"Chapter: 4, Section: 47, Inde, atatsatira malamulo a unzika, kutengela ndi Section 47, Chapter 4, komwe Constitution imapereka njira zowonekera zopezera unzika kwa anthu obwera."
42. Ma membala a paliyamenti amasankhidwa kutsata ndondomeko yanji ,"Chapter: 6, Section: 67, Amasankhidwa kudzera mu chisankho cha poyera, izi zili mu Section 67, Chapter 6 cha Constitution, lomwe limanena kuti a paliyamenti amasankhidwa mogwirizana ndi chisankho choyenera komanso chisankho chopanda tsankho."
43. Ndani ali oyenera ku vota pa zisankho? ,"Chapter: 6, Section 77(2), Aliyense wazaka 18 ndi kupitilira, kutengela ndi Section 77(2), Chapter 6, limene limapereka ufulu kwa aliyense wa zaka 18 ndi kupitilira kuti akhale ndi mwayi wovota mu chisankho chilichonse"
44. Munthu womangidwa ali ndi ufulu wanji? ,"Chapter: 4, Section: 41, Ali ndi ufulu wa chitetezo ndi chilungamo, malinga ndi Section 41, Chapter 4 cha Constitution, lomwe limapereka ufulu wopeza chilungamo popanda tsankho kapena ziletso."
45. Kodi bukhu la malamulo limati chiyani za chiyankhulo mmalawi muno? ,"Chapter: 6, Section: 51, Limazindikira chiyankhulo chachikulu ngati Chichewa ndi Chingerezi, izi zili mu Section 51, Chapter 6, lomwe limafotokoza kuti Chichewa ndi Chingerezi ndi zilankhulo zovomerezeka zotsogolera boma la Malawi"
46. Njira yolembetsa unzika mziko lino ndi yotani  ,"Chapter: 4, Section: 47, Munthu ayenera kutsatira ndondomeko za boma, izi zili mu Section 47, Chapter 4 cha Constitution, komwe malamulo amakonzera ndondomeko za kugwira ntchito ya unzika komanso kukhala nzika za dziko"
47. Buku la malamulo limati chani pa ufulu wokhala ndi moyo?  ,"Chapter: 4, Section: 16, Ufulu wokhala ndi moyo uli ndi chitetezo cha malamulo, kutengela ndi Section 16, Chapter 4 cha Constitution, komwe kulambira moyo wa munthu ndi chitetezo chopanda malire"
48. Kodi malamulo amateteza bwanji ufulu wa ana ,"Chapter: 4, Section: 23, Malamulo amateteza ana ku nkhanza ndi kupereka maphunziro, malinga ndi Section 23, Chapter 4 cha Constitution, lomwe limatsimikizira kuti ana ayenera kulandiridwa popanda kugwidwa ndi nkhanza komanso kupatsidwa maphunziro oyenera"
49. Nanga anthu aulumali ali ndi ufulu wanji?  ,"Chapter: 4, Section: 23, Ali ndi ufulu wa chitetezo ndi zofuna zofananira, izi zili mu Section 23, Chapter 4 cha Constitution, komwe ana olumala akuyenera kutetezedwa ndi kuthandizidwa kuti akhale ndi moyo wabwino ngati anzawo"
50. Nanga ana achichepele ali ndi ufulu wanji ,"Chapter: 3, Section: 13, Ali ndi ufulu wa maphunziro ndi kusamaliridwa, izi zili mu Section 13, Chapter 3 cha Constitution, komwe ana ndi anthu onse ali ndi ufulu wa maphunziro komanso chitetezo cha thupi ndi malingaliro."
51. Ndi zoyenera zanji zomwe zimapangitsa munthu kukhala mtsogoleri wa dziko?,"Chapter: 8, Sectionv 80, Munthu ayenera kukhala ndi zaka 35 ndi kukhala nzika, kutengela ndi Section 80, Chapter 8 cha Constitution, lomwe limapereka zofunikira kuti munthu akhale mtsogoleri wa dziko."
52. Nanga mtsogoleri wa dziko amayenera kulamulira kwa nthawi yochuluka bwanji?  ,"Chapter: 8, Section: 83, Amalonda kwa zaka zisanu, malinga ndi Section 83, Chapter 8, mtsogoleri wa dziko amasankhidwa kukhala m'malo kwa nthawi ya zaka zisanu ndipo amatha kuyimanso kamodzi kokha."
53. Mtsogoleri wa dziko ali ndi udindo wanji kwa nzika?  ,"Chapter: 8, Section: 88, Ali ndi udindo woteteza ndi kutsogolera dziko, kutengela ndi Section 88, Chapter 8 cha Constitution, lomwe limapereka kuti mtsogoleri wa dziko ali ndi udindo wokhazikitsa malamulo ndikutsogolera chitukuko cha dziko."
54. Munthu ayenera kukhala ndi zololedwa zanji kupezeka mu nyumba ya aphungu? ,"Chapter: 6, Section: 77, Ayenera kukhala wazaka 18 ndi kupitilira, kutengela ndi Section 77, Chapter 6 cha Constitution, lomwe limapereka ufulu wa nzika zonse zopitilira zaka 18 kuti azikhala ndi mwayi wovota."
55. Buku la malamulo limati chani pa chitetezo cha dziko?  ,"Chapter:14, Section: 146, Constitution imateteza chitetezo cha dziko lonse, malinga ndi Section 146, Chapter 14 cha Constitution, lomwe limayang’anira chitetezo ndi kulondera chitukuko cha dziko."
56. Kodi malamulo amateteza bwanji ufulu wanga ngati ndatengedwa mlandu popanda chifukwa?  ," Chapter: 4, Section: 42, Constitution imateteza ufulu wa kulandiridwa mwachilungamo, izi zili mu Section 42, Chapter 4, komwe Constitution imatsimikizira kuti aliyense ayenera kuchitiridwa chilungamo m’milandu yake."
57. Kodi ana anga akhoza kupeza maphunziro aulere malinga ndi malamulo?  ,"Chapter:4, Section: 25, Inde, ana ayenera kupeza maphunziro aulere, malinga ndi Section 25, Chapter 4 cha Constitution, lomwe limatsimikizira kuti ana ali ndi ufulu wophunzira ndipo boma liyenera kupereka maphunziro."
58. Kodi malamulo amateteza bwanji miyambo ndi zikhalidwe zathu zaku Malawi?  ,"Chapter: 4, Section: 26, Constitution imalemekeza miyambo ya anthu, izi zili mu Section 26, Chapter 4 cha Constitution, lomwe limapereka ufulu kwa aliyense kutsatira chikhalidwe ndi miyambo yawo popanda tsankho."
59. Malamulo amat chani pa mikangano ya malo ku muzi? ,"Chapter: 18, Section: 213, Milandu ya malo imathetsedwa ndi nyumba za malamulo ndi amfumu, izi zili mu Section 213, Chapter 18 cha Constitution, komwe malamulo amateteza ufulu wa katundu wa nzika ndipo milandu ya malo ikhoza kuthandizidwa ndi nyumba za malamulo kapena amfumu."
60. Malamulo amat chani kwa amai ndi ana omwe asiidwa banja popanda thandizo?  ,"Chapter: 4, Section: 24, Malamulo amateteza amai ndi ana kwa nkhanza komanso kupereka thandizo, malinga ndi Section 24, Chapter 4 cha Constitution, lomwe limapereka chitetezo kwa akazi ndi ana kuti asakumane ndi nkhanza ndi kuti apatsidwe thandizo ngati atha?a nkhanza m'banja."
61. Malamulo amati chani pamene boma lafuna kuchotsa anthu pa malo okhala kamba kofuna kumangapo chitukuko? ,"Chapter: 4, Section: 28, Anthu ayenera kupatsidwa chipukuta malo, izi zili mu Section 28, Chapter 4 cha Constitution, komwe malamulo amateteza ufulu wa munthu aliyense wa katundu wake ndipo ali ndi ufulu wokhala pa malo ake kapena kulandira chipukuta malo ngati akuchotsedwa mosalungama"
62. Ogwila ntchito mu boma ali ndi ufulu wanji?,"Chapter: 4, Section: 31, Ali ndi ufulu wokhala pa ntchito, kulipilidwa, ndi chitetezo, kutengela ndi Section 31, Chapter 4 cha Constitution, lomwe limapereka ufulu wa ntchito ndi kulandira malipiro oyenera komanso chitetezo kwa aliyense."
,
,
